"x","nax","nmx","nqx","lx","ndx","nLx","Tx","ex"
0,0.0805292792792793,0.00619369369369369,0.00615862084066826,1,0.00615862084066826,0.994337328456985,81.2888737679554,81.2888737679554
1,1.5,0.000306877281374164,0.00122656811077852,0.993841379159332,0.00121901414284898,3.9723179812802,80.2945364394984,80.7921043772778
5,2.5,0.000114938124976055,0.000574525537660149,0.992622365016483,0.000570286897954583,4.96168610783753,76.3222184582182,76.8894809829828
10,2.5,0.000161283819200839,0.000806094071178107,0.992052078118528,0.000799687298471265,4.95826117234646,71.3605323503807,71.9322442081057
15,2.5,0.00061063375059973,0.0030485149377232,0.991252390820057,0.00302184772046877,4.94870733479911,66.4022711780342,66.9882582811226
20,2.5,0.000927309970519847,0.0046258259163639,0.988230543099588,0.00457138245761245,4.92972425935391,61.4535638432351,62.1854528503904
25,2.5,0.00113227092581216,0.00564537439582652,0.983659160641976,0.00555312423970841,4.90441299261061,56.5238395838812,57.4628304655766
30,2.5,0.00109501040259882,0.00546010483401281,0.978106036402267,0.00534056149753713,4.87717877826749,51.6194265912706,52.7748778456991
35,2.5,0.00125617257212163,0.00626119999136386,0.97276547490473,0.00609067918307256,4.84860067656597,46.7422478130031,48.0508910100669
40,2.5,0.0019466553633495,0.0096861378860823,0.966674795721657,0.00936334536236042,4.80996561520239,41.8936471364371,43.337891214141
45,2.5,0.00305350469419378,0.0151518577986838,0.957311450359297,0.0145050469648958,4.75029463438425,37.0836815212348,38.737321597184
50,2.5,0.00395722491344398,0.0195922967551423,0.942806403394401,0.0184717428379515,4.66785265987713,32.3333868868505,34.294831654134
55,2.5,0.00579383287319672,0.0285555491672895,0.92433466055645,0.0263948838465496,4.55568609316587,27.6655342269734,29.9302140312673
60,2.5,0.00686022295571481,0.0337227508055587,0.8979397767099,0.030280999328387,4.41399638522853,23.1098481338075,25.7365234653968
65,2.5,0.0109907363770944,0.0534841075688389,0.867658777381513,0.0464059553825201,4.22227899845127,18.695851748579,21.5474703143104
70,2.5,0.0187426368212488,0.0895186454550105,0.821252821998993,0.0735174402014547,3.92247050949133,14.4735727501277,17.6237723176377
75,2.5,0.0304634203775582,0.141537788975606,0.747735381797538,0.105832812678454,3.47409487729156,10.5511022406364,14.1107435832069
80,2.5,0.0529949939668566,0.233976068930837,0.641902569119084,0.150189839759088,2.8340382461977,7.07700736334482,11.025049133324
85,8.6289592760181,0.115888830624017,1,0.491712729359996,0.491712729359996,4.24296911714712,4.24296911714712,8.6289592760181
