"x","nax","nmx","nqx","lx","ndx","nLx","Tx","ex"
0,0.0821391197301939,0.00714065866481994,0.00709416259209811,1,0.00709416259209811,0.99348854567844,75.8319254712879,75.8319254712879
1,0.5,0.000759878419452888,0.000759589821496392,0.992905837407902,0.000754201167799394,0.992528736824002,74.8384369256094,75.3731462804006
2,0.5,0.000601902010292524,0.000601720921776298,0.992151636240102,0.000596998397100257,0.991853137041552,73.8459081887854,74.4300623931185
3,0.5,0.000572847049837693,0.000572683019948459,0.991554637843002,0.000567846504443831,0.99127071459078,72.8540550517439,73.4745744422399
4,0.5,0.000651041666725852,0.000650829808064354,0.990986791338558,0.000644963743201184,0.990664309466958,71.8627843371531,72.5163896887926
5,0.5,0.000299922020334713,0.000299877050469299,0.990341827595357,0.00029698078621567,0.990193337202249,70.8721200276861,71.5632906263994
6,0.5,0.000174216027874564,0.000174200853584183,0.990044846809142,0.000172466657400774,0.989958613480441,69.8819266904839,70.584607268761
7,0.5,0.000176584849019954,0.000176569259291957,0.989872380151741,0.00017478103295696,0.989784989635262,68.8919680770034,69.596818194324
8,0.5,0.000116407659682207,0.00011640088470492,0.989697599118784,0.000115201676127762,0.98963999828072,67.9021830873682,68.6090207229234
9,0.5,0,0,0.989582397442656,0,0.989582397442656,66.9125430890874,67.6169495961198
10,0.5,0.000248478071748043,0.00024844720490684,0.989582397442656,0.000245858980669638,0.989459467952321,65.9229606916448,66.6169495961198
11,0.5,6.46746862630966e-05,6.46725949232034e-05,0.989336538461986,6.39829611946763e-05,0.989304546981389,64.9335012236925,65.6333802495938
12,0.5,0.00025879917177795,0.000258765687605132,0.989272555500792,0.000255989793053048,0.989144560604265,63.9441966767111,64.6375928667516
13,0.5,0.000329250625642039,0.000329196431576511,0.989016565707739,0.000325580724201043,0.988853775345638,62.9550521161068,63.6541937708154
14,0.5,0.00024723406879288,0.000247203510228053,0.988690984983538,0.000244407882018762,0.988568781042528,61.9661983407612,62.674990752336
15,0.5,0.000626330953213078,0.000626134869388286,0.988446577101519,0.000618900868450758,0.988137126667294,60.9776295597187,61.6903644287251
16,0.5,0.000626919942260673,0.000626723489533737,0.987827676233068,0.000619094808306791,0.987518128828915,59.9894924330514,60.7287018539633
17,0.5,0.000725785167656374,0.000725521881146301,0.987208581424761,0.000716241427079064,0.986850460711222,59.0019743042224,59.7664722677648
18,0.5,0.00114178252407818,0.00114113106232586,0.986492339997682,0.00112571705191787,0.985929481471723,58.0151238435112,58.809502609668
19,0.5,0.00189393939401224,0.00189214758758453,0.985366622945764,0.00186445907849315,0.984434393406518,57.0291943620395,57.8761174105432
