"x","nax","nmx","nqx","lx","ndx","nLx","Tx","ex"
0,0.0813407179874337,0.00667101058084334,0.00663037707220839,1,0.00663037707220839,0.993908942559372,78.5178204016278,78.5178204016278
1,1.5,0.00048059120589,0.0019200579161867,0.993369622927792,0.00190732720820191,3.96871017369066,77.5239114590684,78.0413550704113
5,2.5,0.000135443793897641,0.000676989734343084,0.99146229571959,0.000671209796190389,4.95563345410747,73.5552012853777,74.1886016270466
10,2.5,0.000196355639333962,0.000981296488921163,0.990791085923399,0.000972259813871018,4.95152478008232,68.5995678312703,69.2371669526444
15,2.5,0.000802929307681126,0.00400660398898806,0.989818826109528,0.00396581205706591,4.93917960040498,63.6480430511879,64.302720227454
20,2.5,0.00159317892715457,0.00793429276568245,0.985853014052462,0.00782204643742269,4.90970995416876,58.708863450783,59.5513353552102
25,2.5,0.00176397145630734,0.00878113311113154,0.97803096761504,0.00858822011343644,4.86868428779161,53.7991534966142,55.0076176297415
30,2.5,0.00163341295489673,0.00813384993484174,0.969442747501603,0.00788530182859871,4.82750048293652,48.9304692088226,50.4727786503366
35,2.5,0.00185398152995295,0.00922714028062834,0.961557445673004,0.00887242543910748,4.78560616476725,44.1029687258861,45.8661819159623
40,2.5,0.0025623531203093,0.0127302173213575,0.952685020233897,0.0121278873463794,4.73310538280354,39.3173625611188,41.2700543475176
45,2.5,0.00363622980457105,0.018017360861445,0.940557132887518,0.0169463572740405,4.66041977125249,34.5842571783153,36.7699695946607
50,2.5,0.00501582107976487,0.0247685192464471,0.923610775613477,0.0228764712720084,4.56086269988737,29.9238374070628,32.3987530214629
55,2.5,0.00733642103211959,0.0360214341429641,0.900734304341469,0.0324457414241448,4.42255716814698,25.3629747071754,28.15810898389
60,2.5,0.00907880490518831,0.0443865817359689,0.868288562917324,0.0385403612683368,4.24509191141578,20.9404175390285,24.1168874419717
65,2.5,0.0134087442806304,0.0648691855996557,0.829748201648987,0.0538250900937487,4.01417828301056,16.6953256276127,20.1209542779767
70,2.5,0.0224866338190586,0.106448971489541,0.775923111555239,0.0825962171800197,3.67312501482614,12.6811473446021,16.3433040667965
75,2.5,0.036655314572504,0.167891301670703,0.693326894375219,0.116403554779962,3.17562558492619,9.00802232977598,12.9924605591615
80,2.5,0.0633085997003425,0.273289119784476,0.576923339595257,0.157666871661108,2.49044951882351,5.83239674484979,10.109483088241
85,7.97112860892388,0.125452749423773,1,0.419256467934149,0.419256467934149,3.34194722602627,3.34194722602627,7.97112860892388
